arxiv,date,title,authors,categories,comments,report_no,journal_ref,doi,abstract,link,label
arXiv:2401.14742 ," Fri, 26 Jan 2024 10:05:11 GMT  (620kb,D) "," Violation of the equivalence principle induced by oscillating rest mass  and transition frequency, and its detection in atom interferometers "," Jordan Gu\'e, Aur\'elien Hees and Peter Wolf ", hep-ph astro-ph.CO gr-qc physics.atom-ph ," 28 pages, 6 figures, 2 tables ",NA,NA,NA,"   We present a theoretical investigation of the expected experimental signals produced by freely falling atoms with time oscillating mass and transition frequency. These oscillations could be produced in a variety of models, in particular, models of scalar dark matter (DM) non universally coupled to the standard matter (SM) such as axion-like particles (ALP) and dilatons. Performing complete and rigorous calculations, we show that, on one hand, two different atomic species would accelerate at a different rate, and on the other hand, they would produce a non-zero differential phase shift in atom interferometers (AI). The former would produce observable signals in equivalence principle tests like the recent MICROSCOPE mission, and we provide a corresponding sensitivity estimate, showing that MICROSCOPE can reach beyond the best existing searches in the ALP case. We also compare the expected sensitivity of two future AI experiments, namely the AION-10 gradiometer and an isotope differential AI considered for MAGIS-100, that we will refer to as SPID. We show that the SPID setup would be more sensitive to these dark matter fields compared to the gradiometer one, assuming equivalent experimental parameters. ",https://arxiv.org/abs/2401.14742,0
arXiv:2401.14759 ," Fri, 26 Jan 2024 10:34:24 GMT  (39kb) ", Ab initio calculation of molecular pentaquark magnetic moments in heavy  pentaquark chiral perturbation theory , Hao-Song Li , hep-ph ,NA,NA,NA,NA,"   We propose a new heavy pentaquark chiral perturbation theory for the recently observed hidden-charm pentaquark states by LHCb Collaboration. With the ab initio constructed chiral Lagrangians, we present a parameter-free calculation of the octet molecular pentaquark magnetic moments up to one-loop level. We improve the quark model description of the data when we include the leading SU(3) breaking effects coming from the one-loop corrections. Without any experimental inputs, our predictions are so simple and unique that we regard them as a theoretical benchmark to be compared with experiments as well as other theoretical models. ",https://arxiv.org/abs/2401.14759,0
arXiv:2401.14767 ," Fri, 26 Jan 2024 10:48:01 GMT  (346kb,D) ", Magnetic moments and axial charges of the octet hidden-charm molecular  pentaquark family ," Hao-Song Li, Fei Guo, Ya-Ding Lei, and Feng Gao ", hep-ph ,NA,NA,NA,NA,"   In this work, we calculate the magnetic moment and axial charge of the octet hidden-charm molecular pentaquark family in quark model. The Coleman-Glashow sum-rule for the magnetic moments of pentaquark family is always fulfilled independently of SU(3) symmetry breaking. In the $ 8_{2f} $ flavor representation, the magnetic moments of hidden-charm molecular pentaquark states with spin configuration $J^{P}=\frac{1}{2}^{-}(\frac{1}{2}^{+}\otimes0^{-})$ are all equal to $\mu_{c}=0.38\mu_{N}$. The axial charges of octet hidden-charm molecular pentaquark states are quite small compared to the axial charge of nucleon. The axial charges of the pentaquark states with the spin configuration $J^{P}=\frac{1}{2}^{-}(\frac{1}{2}^{+}\otimes0^{-})$ in $8_{2f}$ flavor representation are all zero. ",https://arxiv.org/abs/2401.14767,0
arXiv:2401.14789 ," Fri, 26 Jan 2024 11:24:13 GMT  (1631kb,D) "," Study of spin polarization dependence on rapidity, transverse momentum,  and azimuthal angle "," Wojciech Florkowski, Radoslaw Ryblewski, Rajeev Singh ", hep-ph nucl-th , Contribution to SPIN 2023 ,NA,NA,NA,"   We investigate the spacetime evolution of spin polarization within a hydrodynamic framework based on the de Groot--van Leeuwen--van Weert expressions for energy-momentum and spin tensors. The system's deviation from boost invariance results in the interplay of different spin polarization components, impacting spin observables. We specifically examine the transverse momentum, azimuthal angle, and rapidity dependence of the mean spin polarization vector of $\Lambda$ hyperons. Our results qualitatively align with other models and experimental data on global spin polarization rapidity dependence. While the quadrupole structure is absent in the longitudinal component at midrapidity, our analysis reveals non-trivial signal at forward rapidities that differs from predictions based on the Bjorken expansion. ",https://arxiv.org/abs/2401.14789,0
arXiv:2401.14899 ," Fri, 26 Jan 2024 14:28:17 GMT  (1179kb,D) ", Benchmark calculations of fully heavy compact and molecular tetraquark  states ," Wei-Lin Wu, Yan-Ke Chen, Lu Meng, Shi-Lin Zhu ", hep-ph hep-ex hep-lat nucl-th ,NA,NA,NA,NA,"   We calculate the mass spectrum of the S-wave fully heavy tetraquark systems $ QQ\bar Q\bar Q~(Q=c,b) $ with both ""normal"" $ (J^{PC}=0^{++},1^{+-},2^{++}) $ and ""exotic"" $ (J^{PC}=0^{+-},1^{++},2^{+-}) $ C-parities using three different quark potential models (AL1, AP1, BGS). The ""exotic"" C-parity systems refer to the ones that cannot be composed of two S-wave ground heavy quarkonia. We incorporate the molecular dimeson and compact diquark-antidiquark spatial correlations simultaneously, thereby discerning the actual configurations of the states. We employ the Gaussian expansion method to solve the four-body Schr\""odinger equation, and the complex scaling method to identify the resonant states. The mass spectra in three different models qualitatively agree with each other. We obtain several resonant states with $ J^{PC} = 0^{++}, 1^{+-}, 2^{++}, 1^{++} $ in the mass region $(6.92,7.30)\, \mathrm{GeV}$, some of which are good candidates of the experimentally observed $X(6900)$ and $X(7200)$. We also obtain several ""exotic"" C-parity zero-width states with $ J^{PC}=0^{+-} $ and $ 2^{+-} $. These zero-width states have no corresponding S-wave di-quarkonium threshold and can only decay strongly to final states with P-wave quarkonia. With the notation $T_{4Q,J(C)}(M)$, we deduce from the root mean square radii that the $ X(7200) $ candidates $ T_{4c,0(+)}(7173), T_{4c,2(+)}(7214) $ and the state $ T_{4c,1(-)}(7191) $ look like molecular states although most of the resonant and zero-width states are compact states. ",https://arxiv.org/abs/2401.14899,0
arXiv:2401.14904 ," Fri, 26 Jan 2024 14:35:56 GMT  (73kb,D) ", An analysis of the gluon distribution with next-to-leading order  splitting function in small-$x$ ," Jingxuan Chen, Xiaopeng Wang, Yanbing Cai, Xurong Chen and Qian Wang ", hep-ph ," 14 pages, 3 figures ",NA,NA,NA,"   An approximated solution for gluon distribution from DGLAP evolution equations with NLO splitting function in the small-$x$ limit is presented. We first obtain the simplified forms of LO and NLO splitting functions in the small-$x$ limit. With these approximated splitting functions, we obtain the analytical gluon distribution by using the Mellin transform. The free parameters in the boundary conditions are obtained by fitting the CJ15 gluon distribution data. We find that the asymptotic behavior of gluon distribution are consistent with the CJ15 data, however, the NLO results with the consideration of ``ladder'' structure of gluon emission are slightly better than those from LO. These results indicate that the corrections from NLO is significant and is necessary for a better description of the behavior of the gluon distribution in small-$x$ region. In addition, we investigate the DGLAP evolution of the proton structure function by using the analytical solution of the gluon distribution. The differential structure function shows that our results have a similar tendency with CJ15 at small-$x$. ",https://arxiv.org/abs/2401.14904,0
arXiv:2401.14917 ," Fri, 26 Jan 2024 14:54:17 GMT  (618kb,D) ", Direct WIMP detection rates for transitions in isomeric nuclei , M.V Smirnov and G. Yang and Yu.N. Novikov and J.D. Vergados and D.  Bonatsos , hep-ph nucl-ex nucl-th ,NA,NA,NA,NA,"   The direct detection of dark matter constituents, in particular the weakly interacting massive particles (WIMPs), is central to particle physics and cosmology. In this paper we study WIMP induced transitions from isomeric nuclear states for two possible isomeric candidates: $\rm^{180}Ta$ and $\rm^{166}Ho$. The experimental setup, which can measure the possible decay of $\rm^{180}Ta$ induced by WIMPs, was proposed. The corresponding estimates of the half-life of $\rm^{180}Ta$ are given in the sense that the WIMP-nucleon interaction can be interpreted as ordinary radioactive decay. ",https://arxiv.org/abs/2401.14917,0
arXiv:2401.15025 ," Fri, 26 Jan 2024 17:37:23 GMT  (868kb,D) "," A New Determination of the (Z,A) Dependence of Coherent Muon-to-Electron  Conversion "," L\'eo Borrel, David G. Hitlin, Sophie Middleton ", hep-ph hep-ex nucl-th ," 19 pages, 9 figures ",NA,NA,NA,"   Should muon-to-electron conversion in the field of a nucleus be found in the current generation of experiments, the measurement of the atomic number dependence of the process will become an important experimental goal. We present a new treatment of the (Z,A) dependence of coherent muon-to-electron conversion in 236 isotopes. Our approach differs from previous treatments in several ways. Firstly, we include the effect of permanent quadrupole deformation on the charged lepton flavor violating matrix elements, using the method of Barrett moments. This method also enables the addition of muonic X-ray nuclear size and shape determinations of the charge distribution to the electron scattering results used previously. Secondly, we employ a Hartree-Bogoliubov model to calculate neutron-related matrix elements for even-even nuclei. This takes into account the quadrupole deformation of the neutron distributions and the fact that neutrons are, in general, in different shell model orbits than protons. The calculated conversion rates differ from previous calculations, particularly in the region of large permanent quadrupole deformation. Finally, we propose an alternative normalization of the muon-to-electron conversion rated, which related more closely to what a given experiment acturally measures, and better separate lepton physics from nuclear physics effects. ",https://arxiv.org/abs/2401.15025,0
arXiv:2401.15049 ," Fri, 26 Jan 2024 18:21:14 GMT  (10349kb,D) ", Non-Unitary $3 \times 3$ Mixing in Majorana Neutrinos and Vector-like  Quark Models , Pedro M. F. Pereira , hep-ph ," PhD Thesis, 186 pages, Abstract in English and Portuguese ",NA,NA,NA,"   Non-unitary $3 \times 3$ mixing matrices are present in many extensions of the Standard Model. One of the most simple extensions is the addition of $n_R$ right-handed neutrinos without imposing Lepton Number Conservation ($n_R$$\nu$SM). In the region of the parameter space where the usual seesaw approximation is valid, deviations from $3 \times 3$ unitarity of the leptonic mixing matrix are negligible, while one has three light neutrinos and two or three heavy neutrinos with masses close to the GUT scale. This gap between the mass scales occurs while having order 1 Yukawa couplings, providing a natural explanation for the smallness of light neutrino masses - hence the name seesaw. Other regions of the parameter space, with lighter heavy neutrinos - with an eV or keV mass, for instance - and bigger deviations from unitarity of the leptonic mixing matrix, are still allowed by experiment. In fact, whenever heavy neutrino masses are many orders of magnitude below the GUT scale there are interesting phenomenological implications at low energies. To analyse such regions with precision, one needs an exact parameterisation, since approximations that were valid in the usual seesaw case now fail. This thesis will consist of a study and classification of regions of the 3$\nu$SM parameter space in the light of a newly-developed exact parameterisation. Furthermore, it will also include a study of models with vector-like quarks, another simple extension of the SM, that contains a $3 \times 3$ non-unitary quark mixing matrix. Studying the most interesting regions of the parameter space of vector-like quarks models also benefits from the use of the aforementioned exact parameterisation. These regions are phenomenologically rich and may explain certain open questions like the CKM unitarity problem/Cabibbo angle anomaly. A chapter discussing the experimental implications of these models is also included. ",https://arxiv.org/abs/2401.15049,-1
arXiv:2401.14418 ," Tue, 23 Jan 2024 01:10:46 GMT  (206kb) ", Ejecta-circumstellar medium interaction in high-density environment to  kilonova emission: Application for GRB 191019A ," Suo-Ning Wang, Hou-Jun L\""u, Yong Yuan, Hao-Yu Yuan, Jared Rice,  Meng-Hua Chen, and En-Wei Liang ", astro-ph.HE hep-ph ," 10 pages, 6 figures, accepted for publication in ApJ ",NA,NA,NA,"   The nearby long-duration GRB 191019A recently detected by {\em Swift} lacks an associated supernova and belongs to a host galaxy with little star formation activity, suggesting that the origin of this burst is the result of the merger of two compact objects with dynamical interactions in a high-density medium of an active galactic nucleus (AGN). By motivating of this event, it occurs in such high-density environment, the ejecta- circumstellar medium (CSM) interaction cannot be ignored to contribute a possible kilonova emission. Here, we theoretically calculate the kilonova emission by considering the contribution of the ejecta-CSM interaction in the high-density environment. We find that the contribution to the kilonova emission from the ejecta-CSM interaction will dominate at a later time, and a smaller ejecta mass will have a stronger kilonova emission from the ejecta-CSM interaction. Moreover, we try to apply it to GRB 191019A, but we find that it is difficult to identify the possible kilonova emission from the observations due to the contribution of the bright host galaxy. On the other hand, it requires a less injected mass (less than $M_{\rm ej}=2\times10^{-5}M_{\odot}$) if one can detect the kilonova emission associated with a GRB 191019A-like event in the future. The r-process-powered and spin energy contributions from the magnetar are also discussed. ",https://arxiv.org/abs/2401.14418,0
arXiv:2401.14419 ," Tue, 23 Jan 2024 04:04:49 GMT  (1015kb,D) ", Constraining the mass of fermionic dark matter from its feeble  interaction with hadronic matter via dark mediators in neutron stars , Atanu Guha and Debashree Sen , astro-ph.HE hep-ph nucl-th ," Accepted for publication in Phys. Rev. D ; 16 Pages, 10 figures ",NA,NA,NA,"   Considering ten well-known relativistic mean field models, we invoke feeble interaction between hadronic matter and fermionic dark matter (DM) $\chi$ via new physics scalar ($\phi$) and vector ($\xi$) mediators in neutron star core, thereby forming DM admixed neutron stars (DMANSs). The chosen masses of the DM fermion ($m_{\chi}$) and the mediators ($m_{\phi}$ and $m_{\xi}$) are consistent with the self-interaction constraint from Bullet cluster while their respective couplings ($y_{\phi}$ and $y_{\xi}$) are also constrained by the present day relic abundance. Assuming that both $\phi$ and $\xi$ contribute equally to the relic abundance, we compute the equation of state of the DMANSs and consequently their structural properties. We found that for a particular (constant) DM density, the presence of lighter DM results in more massive DMANSs with larger radius. In the light of the various recent constraints like those from the massive pulsar PSR J0740+6620, the gravitational wave (GW170817) data and the results of NICER experiments for PSR J0030+0451 and PSR J0740+6620, we provide a bound on $m_{\chi}$ within the framework of the present work as $m_{\chi}\approx$ (0.1 $-$ 30) GeV for a wide range of fixed DM Fermi momenta $k_F^{\chi}$=(0.01 $-$ 0.06) GeV. In the case of the hadronic models that yield larger radii corresponding to the low mass neutron stars in the no-DM scenario, interaction with comparatively heavier DM fermion is necessary in order to ensure that the DMANSs obtained with such models satisfy the radius constraints from both GW170817 and NICER data for PSR J0030+0451. ",https://arxiv.org/abs/2401.14419,-1
arXiv:2401.14450 ," Thu, 25 Jan 2024 19:00:00 GMT  (1580kb,D) ", Self-interacting dark matter solves the final parsec problem of  supermassive black hole mergers ," Gonzalo Alonso-\'Alvarez, James M. Cline, Caitlyn Dewar ", astro-ph.CO astro-ph.HE gr-qc hep-ph ," 5 pages + appendices, 7 figures ",NA,NA,NA,"   Evidence for a stochastic gravitational wave (GW) background, plausibly originating from the merger of supermassive black holes (SMBHs), is accumulating with observations from pulsar timing arrays. An outstanding question is how inspiraling SMBHs get past the ""final parsec"" of separation, where they have a tendency to stall before GW emission alone can make the binary coalesce. We argue that dynamical friction from the dark matter (DM) spike surrounding the black holes is sufficient to resolve this puzzle, if the DM has a self-interaction cross section of order $0.2-5\,$cm$^2$/g. The same effect leads to a softening of the GW spectrum at low frequencies as suggested by the current data. For collisionless cold DM, the friction deposits so much energy that the spike is disrupted and cannot bridge the final parsec, while for self-interacting DM, the isothermal core of the halo can act as a reservoir for the energy liberated from the SMBH orbits. A realistic velocity dependence, such as generated by the exchange of a massive mediator like a dark photon, is favored to give a good fit to the GW spectrum while providing a large enough core. A similar velocity dependence has been advocated for solving the small-scale structure problems of cold DM. ",https://arxiv.org/abs/2401.14450,-1
arXiv:2401.14452 ," Thu, 25 Jan 2024 19:00:00 GMT  (40kb) ", The Kalb-Ramond field and Gravitational Parity Violation , Tucker Manton and Stephon Alexander , gr-qc astro-ph.CO hep-ph ," 7 pages + refs, comments welcome ",NA,NA,NA,"   Gravitational wave physics can probe theories that extend beyond General Relativity. Motivated by recent attention on the Kalb-Ramond field as a dark matter candidate, in this work, we study a parity violating dimension four operator which couples the dual Riemann curvature to the 2-form field. After mapping the equations of motion for the right- and left-handed gravitational wave amplitudes to the novel parameterization recently presented in \cite{Jenks:2023pmk}, we discuss various constraints on the model parameters in light of the coincident electromagnetic/gravitational wave signal of GW170817 and the GWTC-3 dataset. ",https://arxiv.org/abs/2401.14452,0
arXiv:2401.14454 ," Thu, 25 Jan 2024 19:00:01 GMT  (9kb) ", The forest as a neutrino detector , Steven Prohira , hep-ex astro-ph.IM hep-ph ," two pages, no figures. To be submitted ",NA,NA,NA,"   The primary challenge in detecting ultrahigh energy (UHE) neutrinos with energies exceeding $10^{16}$ eV is to instrument a large enough volume to detect the extremely low flux, which falls as $\sim E^{-2}$. We explore in this article the feasibility of using the forest as a detector. Trees have been shown to be efficient broadband antennas, and may, without damage to the tree, be instrumented with a minimum of apparatus. A large scale array of such trees may be the key to achieving the requisite target volumes for UHE neutrino astronomy. ",https://arxiv.org/abs/2401.14454,0
arXiv:2401.14855 ," Fri, 26 Jan 2024 13:35:44 GMT  (524kb,D) ", Double parton distributions with flavor interference from lattice QCD ," Daniel Reitinger, Christian Zimmermann, Markus Diehl, Andreas  Sch\""afer ", hep-lat hep-ph ," 25 pages, 13 figures ", DESY-24-014 ,NA,NA,"   We study double parton distributions with flavor interference in the nucleon and compare them with previous results for the flavor diagonal case. We investigate both unpolarized and polarized partons, and we compare our lattice results with those obtained from the simple description of the proton in terms of an SU(6) symmetric three-quark wave function. ",https://arxiv.org/abs/2401.14855,0
arXiv:2401.15078 ," Fri, 26 Jan 2024 18:59:30 GMT  (1947kb,D) ", Physical Yukawa Couplings in Heterotic String Compactifications ," Giorgi Butbaia, Dami\'an Mayorga Pe\~na, Justin Tan, Per Berglund,  Tristan H\""ubsch, Vishnu Jejjala, Challenger Mishra ", hep-th hep-ph ," 31 pages, 10 figures, 2 tables, 3 lemmas, 1 theorem ",NA,NA,NA,"   One of the challenges of heterotic compactification on a Calabi-Yau threefold is to determine the physical $(\mathbf{27})^3$ Yukawa couplings of the resulting four-dimensional $\mathcal{N}=1$ theory. In general, the calculation necessitates knowledge of the Ricci-flat metric. However, in the standard embedding, which references the tangent bundle, we can compute normalized Yukawa couplings from the Weil-Petersson metric on the moduli space of complex structure deformations of the Calabi-Yau manifold. In various examples (the Fermat quintic, the intersection of two cubics in $\mathbb{P}^5$, and the Tian-Yau manifold), we calculate the normalized Yukawa couplings for $(2,1)$-forms using the Weil-Petersson metric obtained from the Kodaira-Spencer map. In cases where $h^{1,1}=1$, this is compared to a complementary calculation based on performing period integrals. A third expression for the normalized Yukawa couplings is obtained from a machine learned approximate Ricci-flat metric making use of explicit harmonic representatives. The excellent agreement between the different approaches opens the door to precision string phenomenology. ",https://arxiv.org/abs/2401.15078,0
arXiv:2401.14449 ," Thu, 25 Jan 2024 19:00:00 GMT  (711kb,D) "," Proving the Weak Gravity Conjecture in Perturbative String Theory, Part  I: The Bosonic String ", Ben Heidenreich and Matteo Lotito , hep-th ," 33 pages plus appendices, 6 figures ", ACF-T24-01 ,NA,NA,"   We present a complete proof of the Weak Gravity Conjecture in any perturbative bosonic string theory in spacetime dimension $D\ge6$. Our proof works by relating the black hole extremality bound to long range forces, which are more easily calculated on the worldsheet, closing the gaps in partial arguments in the existing literature. We simultaneously establish a strict, sublattice form of the conjecture in the same class of theories. We close by discussing the scope and limitations of our analysis, along with possible extensions including an upcoming generalization of our work to the superstring. ",https://arxiv.org/abs/2401.14449,-1
arXiv:2401.14456 ," Thu, 25 Jan 2024 19:00:02 GMT  (2457kb,AD) ", Probing bad theories with the dualization algorithm II ," Simone Giacomelli, Chiung Hwang, Fabio Marino, Sara Pasquetti, Matteo  Sacchi ", hep-th ," 131 pages, 84 figures ",NA,NA,NA,"   We continue our analysis of bad theories, focusing on quiver theories with bad unitary and special unitary gauge groups in three dimensions. By extending the dualization algorithm we prove that the partition function of bad linear quivers can be written as a distribution, given by a sum of terms involving a product of delta functions times the partition function of a good quiver theory. We describe in detail the good quiver theories appearing in the partition function of the bad theory and discuss the brane interpretation of our result. We also discuss in detail the lift of these theories to 4d quivers with symplectic gauge groups, in which our results can be recovered by studying the Higgsing triggered by the expectation value for certain chiral operators. The paper is accompanied by a Mathematica file which implements the algorithm for an arbitrary unitary bad linear quiver. ",https://arxiv.org/abs/2401.14456,0
arXiv:2401.14662 ," Fri, 26 Jan 2024 05:57:56 GMT  (50kb) ", Liouville Irregular States of Half-Integer Ranks ," Ryo Hamachika, Tomoki Nakanishi, Takahiro Nishinaka and Shou Tanigawa ", hep-th , 25 pages , NITEP 199 ,NA,NA,"   We conjecture a set of differential equations that characterizes the Liouville irregular states of half-integer ranks, which extends the generalized AGT correspondence to all the $(A_1,A_\text{even})$ and $(A_1,D_\text{odd})$ types Argyres-Douglas theories. For lower half-integer ranks, our conjecture is verified by deriving it as a suitable limit of a similar set of differential equations for integer ranks. This limit is interpreted as the 2D counterpart of a 4D RG-flow from $(A_1,D_{2n})$ to $(A_1,D_{2n-1})$. For rank $3/2$, we solve the conjectured differential equations and find a power series expression for the irregular state $|I^{(3/2)}\rangle$. For rank $5/2$, our conjecture is consistent with the differential equations recently discovered by H. Poghosyan and R. Poghossian. ",https://arxiv.org/abs/2401.14662,0
arXiv:2401.14873 ," Fri, 26 Jan 2024 13:59:38 GMT  (51kb) ", Lessons from discrete light-cone quantization for physics at null  infinity: Bosons in two dimensions ," Glenn Barnich, Sucheta Majumdar, Simone Speziale, Wen-Di Tan ", hep-th ," 52 pages, 3 figures ",NA,NA,NA,"   Motivated by issues in the context of asymptotically flat spacetimes at null infinity, we discuss in the simplest example of a massless scalar field in two dimensions several subtleties that arise when setting up the canonical formulation on a single or on two intersecting null hyperplanes with a special emphasis on the infinite-dimensional global and conformal symmetries and their canonical generators, the free data, a consistent treatment of zero modes, matching conditions, and implications for quantization of massless versus massive fields. ",https://arxiv.org/abs/2401.14873,0
arXiv:2401.14955 ," Fri, 26 Jan 2024 15:42:52 GMT  (40kb) ", Non-Relativistic M2-Branes and the AdS/CFT Correspondence ," Neil Lambert, Joseph Smith ", hep-th , 43 pages ,NA,NA,NA,"   A non-relativistic limit of the AdS/CFT correspondence is studied in the context of M2-branes. On the field theory side this corresponds to a near-BPS limit of ABJM that localises onto solutions of Hitchin's equations. It is shown that the symmetries of the theory include an infinite-dimensional enhancement of the spatial symmetry algebra corresponding to time-dependent holomorphic transformations. Taking the limit of the gravitational dual splits the geometry into three 'large' directions and eight 'small' directions, which for the near-horizon limit of the M2-brane metric has the effect of reducing the $AdS_4$ factor to an $AdS_2$ factor. Evidence is presented that the duality is maintained after the limit. ",https://arxiv.org/abs/2401.14955,0
arXiv:2401.14431 ," Wed, 24 Jan 2024 22:34:28 GMT  (87kb,D) ", Primordial naked singularities ," Pankaj S. Joshi (Ahmedabad University, India) and Sudip Bhattacharyya  (TIFR, India) ", gr-qc astro-ph.CO hep-th ," 7 pages, 2 figures. arXiv admin note: text overlap with  arXiv:1106.5438 ",NA,NA,NA,"   Primordial black hole formation has been discussed widely, when density perturbations in the early universe cause matter to collapse gravitationally, giving rise to these ultra-compact objects. We propose here that such a gravitational collapse also gives rise to primordial naked singularities, that would play an important role in the observable features of the present universe. We consider two types of collapse scenarios which would give rise to event-like and object-like visible singularities. We briefly discuss implications of primordial naked singularities, including those on dark matter, vis-a-vis primordial black holes. ",https://arxiv.org/abs/2401.14431,0
arXiv:2401.14463 ," Thu, 25 Jan 2024 19:00:52 GMT  (745kb,D) ", Generating Functions for Line Bundle Cohomology Dimensions on Complex  Projective Varieties , Andrei Constantin , math.AG hep-th math.AC ," 40 pages, 7 figures ",NA,NA,NA,"   This paper explores the possibility of constructing multivariate generating functions for all cohomology dimensions of all holomorphic line bundles on certain complex projective varieties of Fano, Calabi-Yau and general type in various dimensions and Picard numbers. Most of the results are conjectural and rely on explicit cohomology computations. We first propose a generating function for the Euler characteristic of all holomorphic line bundles on complete intersections in products of projective spaces and toric varieties. This generating function is constructed by expanding the Hilbert-Poincare series associated with the coordinate ring of the variety around all possible combinations of zero and infinity and then summing up the resulting contributions with alternating signs. Similar generating functions are proposed for the individual cohomology dimensions of all holomorphic line bundles on certain complete intersections, including examples of Mori and non-Mori dream spaces. Surprisingly, the examples studied indicate that a single generating function encodes both the zeroth and all higher cohomologies upon expansion around different combinations of zero and infinity, raising the question whether such generating functions determine the variety uniquely. ",https://arxiv.org/abs/2401.14463,0
arXiv:2401.14540 ," Thu, 25 Jan 2024 22:13:07 GMT  (19kb) ", Quantum hair and entropy for slowly rotating quantum black holes ," Wenbin Feng, Roldao da Rocha, Roberto Casadio ", gr-qc hep-th ," Plain LaTeX, 18 pages ",NA,NA,NA,   We study the quantum hair associated with coherent states describing slowly rotating black holes and show how it can be naturally related with the Bekenstein-Hawking entropy and with 1-loop quantum corrections of the metric for the (effectively) non-rotating case. We also estimate corrections induced by such quantum hair to the temperature of the Hawking radiation through the tunnelling method. ,https://arxiv.org/abs/2401.14540,0
arXiv:2401.14643 ," Fri, 26 Jan 2024 04:22:45 GMT  (640kb,D) ", Deficit Angles in 4D Spinfoam with Cosmological Constant: (Anti) de  Sitter-ness and More ," Muxin Han, Qiaoyin Pan ", gr-qc hep-th math-ph math.MP ," 20+9pages, 7 figures ",NA,NA,NA,"   This paper investigates the critical behaviors of the 4-dimensional spinfoam model with cosmological constant for a general 4-dimensional simplicial complex as the discretization of spacetime. We find that, at the semi-classical regime, the spinfoam amplitude is peaked at the real critical points that correspond to zero deficit angles (modulo $4\pi\mathbb{Z}/\gamma$) hinged by internal triangles of the 4-complex. Since the 4-simplices from the model are of constant curvature, the discrete geometry with zero deficit angle manifests a de Sitter (dS) spacetime or an anti de Sitter (AdS) spacetime depending on the sign of the cosmological constant fixed by the boundary condition. The non-(A)dS spacetimes emerge from the complex critical points by an analytic continuation to complex configurations. ",https://arxiv.org/abs/2401.14643,0
arXiv:2401.14646 ," Fri, 26 Jan 2024 04:39:18 GMT  (57kb) ", Strongly interacting matter in a sphere at nonzero magnetic field ," Bing-Jun Zuo, Zheng Zhang, Chao Shi and Yong-Feng Huang ", nucl-th hep-th ,NA,NA,NA,NA,"   We investigate the chiral phase transition within a sphere under a uniform background magnetic field. The Nambu--Jona-Lasinio (NJL) model is employed and the MIT boundary condition is imposed for the spherical confinement. Using the wave expansion method, the diagonalizable Hamiltonian and energy spectrum are derived for the system. By solving the gap equation in the NJL model, the influence of magnetic field on quark matter in a sphere is studied. It is found that inverse magnetic catalysis occurs at small radii, while magnetic catalysis occurs at large radii. Additionally, both magnetic catalysis and inverse magnetic catalysis are observed at the intermediate radii ($R\approx4$ fm). ",https://arxiv.org/abs/2401.14646,0
arXiv:2401.13717 ," Wed, 24 Jan 2024 09:36:59 GMT  (239kb,D) ", Superheavy SUSY-kind dark matter and high energy cosmic rays , E.V. Arbuzova , hep-ph gr-qc ," 19 pages, 7 figures, 1 table. Based on the plenary talk at Frascati  Workshop 2023 on Multifrequency Behaviour of High Energy Cosmic Sources - XIV  (MULTIF2023), to be published in the proceedings. arXiv admin note:  substantial text overlap with arXiv:2207.06467 ",NA,NA,NA,"   The search for supersymmetric partners at Large Hadron Collider revealed negative result. Though, strictly speaking, it does not exclude low energy supersymmetry, but still it leads to strong constraints of the parameter space. Therefore the search for supersymmetric particles at higher energies becomes of interest. It is shown that in $R^2$-modified cosmology heavy particles with the interaction strength typical for supersymmetry could be promising candidates for carriers of dark matter. We consider the heating of the Universe at the post-inflationary stage via particle production by oscillating curvature scalar (scalaron). The bounds on the masses of dark matter particles are obtained for different dominant decay modes of the scalaron. Possible impact of superheavy particle decays on the spectrum of ultra high energy cosmic rays is discussed. ",https://arxiv.org/abs/2401.13717,-1
arXiv:2401.13728 ," Wed, 24 Jan 2024 19:00:00 GMT  (946kb,D) ", Astrophysical Axion Bounds: The 2024 Edition ," Andrea Caputo, Georg Raffelt ", hep-ph astro-ph.HE hep-ex ," 49 pages, 13 figures, contribution to 1st Training School of the COST  Action COSMIC WISPers (CA21106). Comments on technical or citation issues  welcome! "," MPP-2024-13, CERN-TH-2024-013 ",NA,NA,"   We review the current status of astrophysical bounds on QCD axions, primarily based on the observational effects of nonstandard energy losses on stars, including black-hole superradiance. Over the past few years, many of the traditional arguments have been reexamined both theoretically and using modern data and new ideas have been put forth. This compact review updates similar Lecture Notes written by one of us in 2006 [Lect. Notes Phys. 741 (2008) 51-71]. ",https://arxiv.org/abs/2401.13728,-1
